--Header-Start--

SerialNumber	6194314361
PartNumber	1891115 HY1 CAM 17700x
BatchSerialNumber	3055645
Revision	1891115
OperationTypeName	SW Debug
UUTStatus	Passed
ErrorCode	
ErrorMessage	
StartDateTime	2019-11-11T14:03:50
ExecutionTime	174
TestSocketIndex	02
StationName	FLYING-PROBE4
OperatorName	Operator
SoftwareName	1891115-TOP-V002
SoftwareVersion	NA

--Step-Data-Start--
StepType	StepName	MeasureName	Value	LowLimit	HighLimit	CompOperator	Unit	StepStatus	StepExecutionTime	StepReportText	StepErrorCode	StepErrorMessage	CausedSequenceFailure
NumericLimitTest	ISH850	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH614	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH825	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH930	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH822	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH818	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH826	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH156	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH149	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH167	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH735	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH121	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH123	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH162	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH145	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH150	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH160	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH166	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH170	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH163	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH168	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH135	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH157	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH142	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH155	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH147	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH143	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH130	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
